,FECHA_DOC,CANT,CVE_ART
181,2022-02-17,1,TUA00280
182,2022-02-17,1,RP00178
183,2022-02-17,3,BO00053
184,2022-02-17,2,P7J6C1D1A030
185,2022-02-18,11,TEA00092
186,2022-02-18,6,TEA00093
187,2022-02-18,4,PK14C1D1G300
188,2022-02-18,2,TT00007
189,2022-02-18,2,TT00008
190,2022-02-18,2,TU5/16X203V240W
191,2022-02-18,3,TEA00023
192,2022-02-18,2,TP0001
193,2022-02-21,1,TU5/16X870J127V
194,2022-02-21,1,TEA00096
195,2022-02-21,6,TUA00025
196,2022-02-22,5,TP0015
197,2022-02-22,1,RP00175
198,2022-02-22,1,TP0016
199,2022-02-22,18,TUS00112
200,2022-02-22,2,TUA00403
201,2022-02-22,1,BB1 1/2X1/2-300W
202,2022-02-22,1,BB1 1/2X1/2-300W
203,2022-02-22,1,TP0025
204,2022-02-23,36,TUE00146
205,2022-02-23,2,BE00011
206,2022-02-23,2,BE00012
207,2022-02-23,2,BE00013
208,2022-02-23,2,BE00015
209,2022-02-23,2,BN00243
210,2022-02-23,2,BN00244
211,2022-02-23,2,BN00245
212,2022-02-23,2,BN00246
213,2022-02-23,7,BP00249
214,2022-02-23,2,PJ140FD1A000
215,2022-02-23,2,TUE00179
216,2022-02-23,2,RC00025
217,2022-02-23,2,CS58H1060A00
218,2022-02-23,2,CS58H1060A00
219,2022-02-23,1,TU5/16X870J127V
220,2022-02-24,3,CBS00101
221,2022-02-24,6,TUA00427
222,2022-02-24,10,TEA00006
223,2022-02-24,2,TEE00017
224,2022-02-24,1,CS12J2025A00
225,2022-02-25,1,TUE00207
226,2022-02-25,1,TUE00207
227,2022-02-25,1,TUE00207
228,2022-02-25,1,TUE00207
229,2022-02-25,1,TUE00207
230,2022-02-25,2,TUE00332
231,2022-02-25,2,TP0009
232,2022-02-25,2,TP0010
233,2022-02-25,2,TP0040
234,2022-02-25,5,TEA00006
235,2022-02-25,4,CBS00056
236,2022-02-25,10,70001694
237,2022-02-25,8,70001698
238,2022-02-25,7,70001692
239,2022-02-25,8,70001690
240,2022-02-25,3,70001684
241,2022-02-25,4,P214F1AB0600
242,2022-02-28,4,CS12F1040A00
243,2022-02-28,1,TUE00339
244,2022-02-28,2,BP00206
245,2022-02-28,30,ECQ-00972
246,2022-02-28,4,TUE00075
247,2022-02-28,2,CS12G1040A00
248,2022-02-28,2,TUS00113
249,2022-02-28,1,TUE00176
250,2022-02-28,2,PJ14F1L1A800
251,2022-02-28,1,TUE00132
252,2022-02-28,3,TUS00005
253,2022-02-28,1,TUE00338
254,2022-02-28,3,TUE00337
255,2022-02-28,3,TUS00029
256,2022-02-28,1,BB00017
257,2022-02-28,1,BB00018
258,2022-02-28,1,BN00002
259,2022-02-28,1,BN00003
260,2022-02-28,2,BL00038
261,2022-02-28,3,PJ31Q1G3A100
262,2022-02-28,3,TUA00426
263,2022-02-28,2,PK14G1D1G300
264,2022-02-28,4,TUE00075
265,2022-02-28,4,TUE00198
266,2022-03-01,1,BC00026
267,2022-03-02,4,TUE00307
268,2022-03-02,4,TUE00308
269,2022-03-02,2,PT00082
270,2022-03-03,6,BS00006
271,2022-03-03,6,BS00008
272,2022-03-03,1,BB2X2ST
273,2022-03-03,1,RP00181
274,2022-03-03,3,TUE00337
275,2022-03-03,2,TK00028
276,2022-03-03,1,TP0008
277,2022-03-03,1,TP0040
278,2022-03-04,1,TUA00428
279,2022-03-04,15,TUA00143
280,2022-03-04,1,TUA00102
281,2022-03-04,2,P7J6C1D1A030
282,2022-03-04,2,TUA00431
283,2022-03-07,4,TP0005
284,2022-03-07,1,TUE00007
285,2022-03-07,4,CS38F1010A00
286,2022-03-08,5,WRE-2137
287,2022-03-08,2,BN00242
288,2022-03-08,9,TUE00343
289,2022-03-09,1,BO00056
290,2022-03-09,4,TEE00017
291,2022-03-09,1,TP0011
292,2022-03-09,10,TU5/16X203V
293,2022-03-09,1,TU5/16X230MM
294,2022-03-09,1,TUE00341
295,2022-03-09,1,TUE00341
296,2022-03-10,3,TUA00430
297,2022-03-10,2,CS14D2017B20
298,2022-03-10,1,TP0005
299,2022-03-10,20,TEA00006
300,2022-03-10,5,TUE00042
301,2022-03-10,5,TP0011
302,2022-03-11,1,RM00017
303,2022-03-11,6,TUA00134
304,2022-03-11,2,PT00063
305,2022-03-11,1,TUA00432
306,2022-03-11,2,BB1 1/2X1/2-300W
307,2022-03-11,2,TP0001
308,2022-03-11,1,TUA00371
309,2022-03-14,10,CAS00075
310,2022-03-14,15,CAS00076
311,2022-03-15,1,BB1 1/2X1/2-300W
312,2022-03-15,4,TUA00175
313,2022-03-15,9,TUA00241
314,2022-03-15,1,TU5/16X230MM
315,2022-03-15,2,TUA00222
316,2022-03-15,2,TUE00333
317,2022-03-15,4,TUA00421
318,2022-03-16,2,TUE00103
319,2022-03-16,5,TP0012
320,2022-03-16,1,BB1 1/2X1/2-300W
321,2022-03-16,2,TUE00340
322,2022-03-16,5,BS00011
323,2022-03-16,2,TUA00124
324,2022-03-16,6,TUS00115
325,2022-03-16,1,BL00022
326,2022-03-16,20,PT00047
327,2022-03-16,2,ECQ-01444
328,2022-03-17,4,TP0010
329,2022-03-17,2,TUA00429
330,2022-03-17,2,TP0011
331,2022-03-17,1,TUA00419
332,2022-03-18,1,BE00016
333,2022-03-18,2,BL00054
334,2022-03-18,6,BO00058
335,2022-03-18,1,TUE00207
336,2022-03-18,1,TUA00422
337,2022-03-18,1,TUA00422
338,2022-03-18,1,TUA00424
339,2022-03-18,1,TUA00424
340,2022-03-22,4,BP00089
341,2022-03-22,1,TU5/16X230MM
342,2022-03-22,2,P114I1D4A000
343,2022-03-22,6,BP00257
344,2022-03-22,2,TP0001
345,2022-03-22,2,TP0002
346,2022-03-22,2,TP0001
347,2022-03-23,1,RP00165
348,2022-03-23,1,TP0016
349,2022-03-23,2,TU5/16X230MM
350,2022-03-23,10,TP0005
351,2022-03-23,5,TUA00433
352,2022-03-23,2,CBE00028
353,2022-03-23,1,TK00034
354,2022-03-23,1,BP00259
355,2022-03-23,1,BP00260
356,2022-03-23,4,TUA00200
357,2022-03-23,2,TUE00161
358,2022-03-23,1,RP00182
359,2022-03-23,3,TUA00099
360,2022-03-23,2,PA00001
361,2022-03-24,1,TR51G1125A00
362,2022-03-24,4,CS12E2040A00
363,2022-03-24,4,CS12F2040A00
364,2022-03-24,3,TK00063
365,2022-03-24,1,BL00001
366,2022-03-24,1,BP00258
367,2022-03-24,3,EE00003
368,2022-03-25,6,BOE00012
369,2022-03-25,10,BOE00013
370,2022-03-25,1,TP0008
371,2022-03-25,1,TP0022
372,2022-03-25,1,TP0001
373,2022-03-28,2,BO00005
374,2022-03-28,25,TP0003
375,2022-03-28,2,TP0003
376,2022-03-28,2,TEA00016
377,2022-03-28,1,RP00184
378,2022-03-28,3,TEA00017
379,2022-03-28,8,BN00248
380,2022-03-28,2,BN00249
381,2022-03-28,2,BN00250
382,2022-03-28,1,BN00251
383,2022-03-29,3,BP00149
384,2022-03-29,4,BP00150
385,2022-03-29,2,BE00011
386,2022-03-29,2,BE00012
387,2022-03-29,2,BE00013
388,2022-03-29,2,BE00015
389,2022-03-29,1,TP0003
390,2022-03-29,1,BB1 1/2X1/2-300W
391,2022-03-29,1,TUS00116
392,2022-03-29,1,TUS00118
393,2022-03-29,1,TP0015
394,2022-03-29,18,TUE00319
395,2022-03-30,2,151.7208
396,2022-03-30,1,TUA00096
397,2022-03-30,3,TP0024
398,2022-03-30,1,TP0022
399,2022-03-30,1,TUE00025
400,2022-03-30,1,MA00016
401,2022-03-31,1,RP00180
402,2022-03-31,1,RP00171
403,2022-03-31,60,BOBINA001
404,2022-03-31,1,BB1 1/2X1/2-300W
405,2022-03-31,12,TUA00219
406,2022-03-31,12,TUS00020
407,2022-03-31,1,TUA00434
408,2022-03-31,6,CS12F1040A00
409,2022-03-31,6,CS12H1050A00
410,2022-03-31,25,ECQ-00972
411,2022-03-31,1,ECQ-01444
412,2022-03-31,10,ECQ-00972
413,2022-03-31,3,ECQ-01444
414,2022-03-31,18,TP00019
415,2022-03-31,2,TUE00162
416,2022-03-31,4,TUE00348
417,2022-03-31,1,TUE00105
418,2022-03-31,3,TUS00035
419,2022-03-31,1,GAB00014
420,2022-03-31,2,TUA00376
421,2022-04-01,1,TP0040
422,2022-04-04,1,TP0001
423,2022-04-04,1,BP00251
424,2022-04-04,1,BP00252
425,2022-04-04,1,BP00253
426,2022-04-04,1,BP00254
427,2022-04-04,1,BP00255
428,2022-04-04,1,BP00256
429,2022-04-05,1,RP00187
430,2022-04-05,3,TUS00002
431,2022-04-05,4,TUS00001
432,2022-04-05,1,TUE00081
433,2022-04-05,4,TUA00175
434,2022-04-05,1,TUS00117
435,2022-04-05,2,BC00010
436,2022-04-06,2,RP00150
437,2022-04-06,1,BB1 1/2X1/2-300W
438,2022-04-06,4,MR01934
439,2022-04-06,2,BN00064
440,2022-04-06,1,TP0026
441,2022-04-07,5,TUS00017
442,2022-04-07,3,TUS00018
443,2022-04-07,1,TP0002
444,2022-04-07,25,E1041959
445,2022-04-07,4,BC00006
446,2022-04-07,5,P231A1D6K200
447,2022-04-07,4,65014-38
448,2022-04-07,2,TUA00435
449,2022-04-07,1,CM10E2050A00
450,2022-04-08,2,TUA00420
451,2022-04-08,1,EE00026
452,2022-04-08,1,TU5/16X203V
453,2022-04-11,2,TP0011
454,2022-04-11,1,TP0012
455,2022-04-11,3,TUA00017
456,2022-04-11,1,TJ00046
457,2022-04-11,1,TP0024
458,2022-04-11,1,TUE00342
459,2022-04-11,2,TUE00103
460,2022-04-12,2,PJ14F10B0600
461,2022-04-12,1,PJ14J10B0600
462,2022-04-12,1,TUA00148
463,2022-04-13,1,TUE00132
464,2022-04-13,10,P114Q1H90412
465,2022-04-13,1,TUS00119
466,2022-04-13,9,TUA00087
467,2022-04-13,1,TUE00345
468,2022-04-13,6,TUE00248
469,2022-04-13,1,TJ00090
470,2022-04-13,1,TUE00351
471,2022-04-13,1,TUE00352
472,2022-04-13,25,E1041968
473,2022-04-18,1,RP00183
474,2022-04-19,1,RP00137
475,2022-04-19,3,TUA00124
476,2022-04-19,4,TP0012
477,2022-04-19,4,TUE00207
478,2022-04-19,1,RC00027
479,2022-04-20,1,TUE00172
480,2022-04-20,2,PT00082
481,2022-04-21,2,TP0002
482,2022-04-21,1,TUE00350
483,2022-04-21,2,BN00252
484,2022-04-21,5,TUA00436
485,2022-04-21,2,CAE00039
486,2022-04-21,6,TEA00099
487,2022-04-21,1,BC00027
488,2022-04-21,3,TUA00099
489,2022-04-21,1,TP0001
490,2022-04-22,3,CM10D2025A00
491,2022-04-22,2,CM10D2030A00
492,2022-04-22,2,TP0004
493,2022-04-22,1,TP0024
494,2022-04-22,1,BL00055
495,2022-04-22,1,TJ00043
496,2022-04-22,3,TJ00043
497,2022-04-25,10,TUS00003
498,2022-04-25,1,BB1 1/2X1/2-300W
499,2022-04-25,20,E1041960
500,2022-04-25,1,CS14E1020A00
501,2022-04-25,2,P231F1H6AB00
502,2022-04-25,3,TUA00079
503,2022-04-25,18,TUE00319
504,2022-04-26,6,TUE00248
505,2022-04-26,10,TP0003
506,2022-04-26,4,BO00059
507,2022-04-26,2,CAE00039
508,2022-04-26,2,TUA00412
509,2022-04-26,1,TUA00440
510,2022-04-26,1,TUS00120
511,2022-04-26,2,TP0002
512,2022-04-27,2,TUA00124
513,2022-04-27,1,RM00038
514,2022-04-27,2,TUA00376
515,2022-04-27,5,TP0025
516,2022-04-27,1,TUS00048
517,2022-04-27,1,TUE00258
518,2022-04-27,3,TP00011
519,2022-04-27,5,TUE00261
520,2022-04-28,2,TUA00437
521,2022-04-28,1,TUE00336
522,2022-04-28,5,PT00083
523,2022-04-28,2,PA00001
524,2022-04-29,1,TP0011
525,2022-04-29,1,BP00261
526,2022-04-29,1,TUA00438
527,2022-04-29,1,TP0011
528,2022-04-29,2,TP0012
529,2022-04-29,12,CAE00040
530,2022-04-29,2,TUE00034
531,2022-04-29,7,ECQ-00971
532,2022-04-29,4,ECQ-01444
533,2022-04-29,35,ECQ-00972
534,2022-04-29,10,ECQ-01444
535,2022-04-29,1,TUE00344
536,2022-05-02,10,CS38C1008A00
537,2022-05-02,2,BB00095
538,2022-05-03,2,PT31B1D5A400
539,2022-05-03,6,TP0025
540,2022-05-03,1,TP0016
541,2022-05-03,1,RM00022
542,2022-05-04,2,TK00062
543,2022-05-04,5,TP0011
544,2022-05-04,1,TP0012
545,2022-05-04,1,BP00260
546,2022-05-04,17,E1041960
547,2022-05-04,4,TUA00021
548,2022-05-04,4,TUA00009
549,2022-05-04,1,TP0001
550,2022-05-05,6,TUA00258
551,2022-05-05,2,BN00254
552,2022-05-05,10,TP0025
553,2022-05-05,1,TUA00441
554,2022-05-05,1,BP00215
555,2022-05-05,1,RP00191
556,2022-05-05,1,TP0025
557,2022-05-06,1,RC00013
558,2022-05-06,2,EE00021
559,2022-05-06,2,TUA00442
560,2022-05-06,15,TP0025
561,2022-05-09,1,RP00195
562,2022-05-09,4,RM00022
563,2022-05-09,1,RP00194
564,2022-05-09,1,TUA00443
565,2022-05-09,20,TEA00006
566,2022-05-09,6,RC00012
567,2022-05-09,1,TU5/16X230MM
568,2022-05-09,5,EE00055
569,2022-05-10,1,TEA00096
570,2022-05-10,5,PT00083
571,2022-05-10,5,TEA00100
572,2022-05-11,1,TP0002
573,2022-05-11,1,CS12D2040A01
574,2022-05-11,1,TUA00439
575,2022-05-11,6,TEA00099
576,2022-05-11,5,TP0011
577,2022-05-11,2,TP0002
578,2022-05-11,10,TJ00063
579,2022-05-11,5,PK31A1I1A000
580,2022-05-12,2,BC00027
581,2022-05-12,2,BB00101
582,2022-05-12,1,TUE00081
583,2022-05-12,4,CAE00011
584,2022-05-12,1,RP00197
585,2022-05-12,1,TUS00121
586,2022-05-13,1,BP00263
587,2022-05-13,2,TU5/16X870J127V
588,2022-05-13,1,RP00196
589,2022-05-13,2,CS58M2050A11
590,2022-05-13,2,PJ000GE1A400
591,2022-05-17,1,TP00021
592,2022-05-17,1,TP00022
593,2022-05-17,1,BB1 1/2X1/2-300W
594,2022-05-17,1,93980461
595,2022-05-17,1,93980461
596,2022-05-17,2,54020219
597,2022-05-17,2,54020219
598,2022-05-18,3,TUA00131
599,2022-05-18,1,RP00193
600,2022-05-19,1,TUE00353
601,2022-05-19,4,TUE00207
602,2022-05-19,1,TUE00354
603,2022-05-19,2,PJ000GH1A000
604,2022-05-19,2,PJ000GJ1A000
605,2022-05-19,2,PT00084
606,2022-05-20,8,PT00010
607,2022-05-20,5,TUA00127
608,2022-05-20,8,TUA00321
609,2022-05-20,2,MR01934
610,2022-05-23,3,TP0001
611,2022-05-23,1,RP00002
612,2022-05-23,4,ECQ-01444
613,2022-05-23,1,TUA00311
614,2022-05-23,6,TUE00068
615,2022-05-24,60,CAS00080
616,2022-05-25,1,TUS00090
617,2022-05-25,20,TEA00058
618,2022-05-25,1,BB1 1/2X1/2-300W
619,2022-05-26,15,70001694
620,2022-05-26,8,70001692
621,2022-05-26,6,70001684
622,2022-05-26,1,RP00198
623,2022-05-26,10,CAS00034
624,2022-05-26,2,TP0003
625,2022-05-26,28,TP0022
626,2022-05-26,1,TEA00101
627,2022-05-27,2,TP0016
628,2022-05-27,2,TUS00122
629,2022-05-27,3,TUS00122
630,2022-05-27,1,TP0005
631,2022-05-27,2,CS58G1030A00
632,2022-05-30,3,TU5/16X203V
633,2022-05-31,2,BP00264
634,2022-05-31,2,CAS00043
635,2022-05-31,6,47980249
636,2022-05-31,4,47980626
637,2022-05-31,2,MR8-250-11-13
638,2022-05-31,4,TUA00449
639,2022-05-31,2,TUA00450
640,2022-05-31,10,TUA00049
641,2022-05-31,8,CBE00012
642,2022-05-31,5,CBE00040
643,2022-05-31,2,TK00065
644,2022-06-01,1,TP0040
645,2022-06-01,5,47980075
646,2022-06-02,16,47980249
647,2022-06-02,6,CAS00079
648,2022-06-02,1,TUE00101
649,2022-06-02,4,AK00012
650,2022-06-02,2,TUA00445
651,2022-06-02,1,CBE00039
652,2022-06-02,2,TJ00091
653,2022-06-03,2,TU5/16X230MM
654,2022-06-03,36,TUE00146
655,2022-06-06,1,TUA00325
656,2022-06-06,2,BN00256
657,2022-06-06,2,BN00257
658,2022-06-06,1,BP00263
659,2022-06-06,1,BB1 1/2X1/2-300W
660,2022-06-07,1,RP00201
661,2022-06-07,1,BB1 1/2X1/2-300W
662,2022-06-07,12,TUA00436
663,2022-06-08,1,TU5/16X230MM
664,2022-06-09,1,RP00202
665,2022-06-09,10,CS58P2120A01
666,2022-06-09,30,BOBINA001
667,2022-06-09,1,TUA00444
668,2022-06-09,2,CS14D2017B20
669,2022-06-09,4,TP0011
670,2022-06-09,4,TP0012
671,2022-06-09,4,TP0006
672,2022-06-10,1,RP00203
673,2022-06-10,2,TUE00362
674,2022-06-10,2,TEE00027
675,2022-06-10,1,TU5/16X230MM
676,2022-06-13,1,TP0001
677,2022-06-13,1,TUA00438
678,2022-06-13,2,TUA00439
679,2022-06-14,4,TUS00005
680,2022-06-14,3,TU5/16X203V
681,2022-06-14,6,BO00061
682,2022-06-14,1,TUE00363
683,2022-06-15,3,CS14D2017B20
684,2022-06-15,1,BB1 1/2X1/2-300W
685,2022-06-15,2,BO00064
686,2022-06-16,10,BO00062
687,2022-06-16,12,CBS00098
688,2022-06-16,1,TP0011
689,2022-06-16,20,ECQ-00972
690,2022-06-16,2,ECQ-00974
691,2022-06-16,1,TP0025
692,2022-06-16,1,TUA00446
693,2022-06-17,2,CAS00068
694,2022-06-17,2,CAS00069
695,2022-06-17,2,CAS00070
696,2022-06-17,2,CAS00071
697,2022-06-17,5,TP0002
698,2022-06-17,5,TP0003
699,2022-06-17,1,TUA00124
700,2022-06-17,4,PK51H1JBA600
701,2022-06-17,6,TEE00028
702,2022-06-17,6,TUS00123
703,2022-06-17,2,CAS00081
704,2022-06-17,1,TP0024
705,2022-06-20,2,TP0012
706,2022-06-20,2,BN00258
707,2022-06-21,6,TUA00447
708,2022-06-21,6,TUA00448
709,2022-06-21,1,TUE00362
710,2022-06-21,1,TP0009
711,2022-06-21,4,TP0011
712,2022-06-21,4,TP0012
713,2022-06-21,3,TP0003
714,2022-06-22,4,CM10G1030A00
715,2022-06-22,2,TUA00457
716,2022-06-22,15,TP0025
717,2022-06-22,2,BP00246
718,2022-06-22,2,BP00247
719,2022-06-22,2,BP00263
720,2022-06-22,1,TUA00413
721,2022-06-22,2,TU5/16X203V240W
722,2022-06-23,30,EE00059
723,2022-06-23,4,BO00063
724,2022-06-23,1,RB00021
725,2022-06-23,1,CS14D2017B20
726,2022-06-24,6,TUA00453
727,2022-06-24,4,CS14E1012A00
728,2022-06-24,2,TEA00103
729,2022-06-24,2,TUA00009
730,2022-06-24,10,PT00057
731,2022-06-24,3,CAE00011
732,2022-06-27,10,TT00009
733,2022-06-27,10,TT00010
734,2022-06-27,2,P9K1J1D1G030
735,2022-06-27,1,TU5/16X870J127V
736,2022-06-28,1,P214J1BBA600
737,2022-06-28,2,BN00260
738,2022-06-28,2,BN00261
739,2022-06-28,9,CS38C1008A00
740,2022-06-28,6,TJ00029
741,2022-06-28,3,TUA00099
742,2022-06-28,2,TUA00191
743,2022-06-29,1,TP0005
744,2022-06-29,1,BP00215
745,2022-06-29,1,RP00191
746,2022-06-29,100,BOBINA002
747,2022-06-29,5,BOBINA003
748,2022-06-30,4,TUS00016
749,2022-06-30,5,TUS00017
750,2022-06-30,6,TUS00018
751,2022-06-30,2,PA00011
752,2022-06-30,1,PA00012
753,2022-06-30,1,TUA00458
754,2022-06-30,6,PT31B1G1AG00
755,2022-06-30,4,PT00087
756,2022-06-30,1,TUA00459
757,2022-06-30,1,TUA00461
758,2022-06-30,4,TUE00171
759,2022-06-30,1,TP0012
760,2022-06-30,3,TP0011
761,2022-06-30,3,TUA00460
762,2022-06-30,1,TUE00004
763,2022-07-04,7,ECQ-01444
764,2022-07-04,1,TEA00004
765,2022-07-04,2,BN00216
766,2022-07-04,2,TUA00009
767,2022-07-04,1,BL00012
768,2022-07-04,1,PJ31F1F1A400
769,2022-07-05,3,ECQ-00971
770,2022-07-06,1,TP0016
771,2022-07-06,1,TUA00459
772,2022-07-06,2,BL00057
773,2022-07-06,2,BL00058
774,2022-07-06,2,BP00265
775,2022-07-06,2,BP00266
776,2022-07-06,1,TP0007
777,2022-07-06,1,TP0008
778,2022-07-06,1,TP0009
779,2022-07-06,1,BS00012
780,2022-07-07,10,ABRAZA01
781,2022-07-07,20,TEA00006
782,2022-07-07,15,TEA00006
783,2022-07-07,1,93980461
784,2022-07-07,2,54020219
785,2022-07-07,6,47980249
786,2022-07-07,1,EE00060
787,2022-07-08,4,PJ000NH1A400
788,2022-07-08,1,P131B1I14000
789,2022-07-08,1,TP0012
790,2022-07-11,1,PJ000GH1A000
791,2022-07-11,6,PJ000GJ1A000
792,2022-07-11,1,PT00063
793,2022-07-11,2,BS00010
794,2022-07-12,2,BN00263
795,2022-07-12,3,BP00267
796,2022-07-12,5,MR01934
797,2022-07-12,8,TUA00318
798,2022-07-12,1,TUA00459
799,2022-07-12,54,CAS00083
800,2022-07-12,27,CAS00084
801,2022-07-12,3,CAS00085
802,2022-07-12,3,CAS00086
803,2022-07-13,3,TP0011
804,2022-07-13,1,PT00088
805,2022-07-13,1,TUE00364
806,2022-07-13,4,BP00070
807,2022-07-15,1,TP0040
808,2022-07-15,2,TUA00376
809,2022-07-15,3,TJ00092
